ovr_id,last_check_date,next_check_date,permid,issuer_name,ovr_target,source_value,ovr_value,ovr_active,og_srating,og_exposure,og_controversy,og_committee,company_inheriting,parent_company,inherited_ovr,inhert_ovr_id,comments,evidence,ovr_log,brs_id
ovr000002,01/09/2024,01/03/2025,5000072036,3M Co,str_001,FLAG,EXCLUDED,True,,,x,,False,,False,,"Update jul-23: se aplica overwrite temporal de ""Excluded"" por la controversia detectada por Sustainalytics (5/5). 
Update ene-24: se mantiene el overwrite de ""Excluded"" puesto que Sustainalytics sigue señalando que la controversia tiene el máximo nivel de severidad (5/5).
Update ago-24: se mantienen los ovrs al no haber cambiado el estado de la controversia
Update sep-24: no hay novedades en cuanto a la controversia asi que se mantienen los ovrs

latest_comment:
Revisión sep-24: se mantienen los ovrs 

sustainalytics_controv_detail:
Emissions, effluents and Waste

exposure_detail:
Alcohol Part (1%), Fossil fuel Part (5-15%), Animal Test (50-100), armament part (0 - 5), coal mining (0 - 1), gambling part (0 - 1), meat prod (0 - 5), nuclear energy part (0 - 1), pork products (0 - 5),  gas fuels part (0 - 1), oils fuels part (0 - 5)",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",604059
ovr000003,01/09/2024,01/03/2025,5000072036,3M Co,str_003,FLAG,EXCLUDED,True,,,x,,False,,False,,"Update jul-23: se aplica overwrite temporal de ""Excluded"" por la controversia detectada por Sustainalytics (5/5). 
Update ene-24: se mantiene el overwrite de ""Excluded"" puesto que Sustainalytics sigue señalando que la controversia tiene el máximo nivel de severidad (5/5).
Update ago-24: se mantienen los ovrs al no haber cambiado el estado de la controversia
Update sep-24: no hay novedades en cuanto a la controversia asi que se mantienen los ovrs

latest_comment:
Revisión sep-24: se mantienen los ovrs 

sustainalytics_controv_detail:
Emissions, effluents and Waste

exposure_detail:
Alcohol Part (1%), Fossil fuel Part (5-15%), Animal Test (50-100), armament part (0 - 5), coal mining (0 - 1), gambling part (0 - 1), meat prod (0 - 5), nuclear energy part (0 - 1), pork products (0 - 5),  gas fuels part (0 - 1), oils fuels part (0 - 5)",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",604059
ovr000004,01/09/2024,01/03/2025,5000072036,3M Co,str_004,FLAG,EXCLUDED,True,,,x,,False,,False,,"Update jul-23: se aplica overwrite temporal de ""Excluded"" por la controversia detectada por Sustainalytics (5/5). 
Update ene-24: se mantiene el overwrite de ""Excluded"" puesto que Sustainalytics sigue señalando que la controversia tiene el máximo nivel de severidad (5/5).
Update ago-24: se mantienen los ovrs al no haber cambiado el estado de la controversia
Update sep-24: no hay novedades en cuanto a la controversia asi que se mantienen los ovrs

latest_comment:
Revisión sep-24: se mantienen los ovrs 

sustainalytics_controv_detail:
Emissions, effluents and Waste

exposure_detail:
Alcohol Part (1%), Fossil fuel Part (5-15%), Animal Test (50-100), armament part (0 - 5), coal mining (0 - 1), gambling part (0 - 1), meat prod (0 - 5), nuclear energy part (0 - 1), pork products (0 - 5),  gas fuels part (0 - 1), oils fuels part (0 - 5)",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",604059
ovr000005,01/09/2024,01/03/2025,5000072036,3M Co,art_8,FLAG,EXCLUDED,True,,,x,,False,,False,,"Update jul-23: se aplica overwrite temporal de ""Excluded"" por la controversia detectada por Sustainalytics (5/5). 
Update ene-24: se mantiene el overwrite de ""Excluded"" puesto que Sustainalytics sigue señalando que la controversia tiene el máximo nivel de severidad (5/5).
Update ago-24: se mantienen los ovrs al no haber cambiado el estado de la controversia
Update sep-24: no hay novedades en cuanto a la controversia asi que se mantienen los ovrs

latest_comment:
Revisión sep-24: se mantienen los ovrs 

sustainalytics_controv_detail:
Emissions, effluents and Waste

exposure_detail:
Alcohol Part (1%), Fossil fuel Part (5-15%), Animal Test (50-100), armament part (0 - 5), coal mining (0 - 1), gambling part (0 - 1), meat prod (0 - 5), nuclear energy part (0 - 1), pork products (0 - 5),  gas fuels part (0 - 1), oils fuels part (0 - 5)",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",604059
ovr000006,01/09/2024,01/03/2025,5000072036,3M Co,cs_003,FLAG,EXCLUDED,True,,,x,,False,,False,,"Update jul-23: se aplica overwrite temporal de ""Excluded"" por la controversia detectada por Sustainalytics (5/5). 
Update ene-24: se mantiene el overwrite de ""Excluded"" puesto que Sustainalytics sigue señalando que la controversia tiene el máximo nivel de severidad (5/5).
Update ago-24: se mantienen los ovrs al no haber cambiado el estado de la controversia
Update sep-24: no hay novedades en cuanto a la controversia asi que se mantienen los ovrs

latest_comment:
Revisión sep-24: se mantienen los ovrs 

sustainalytics_controv_detail:
Emissions, effluents and Waste

exposure_detail:
Alcohol Part (1%), Fossil fuel Part (5-15%), Animal Test (50-100), armament part (0 - 5), coal mining (0 - 1), gambling part (0 - 1), meat prod (0 - 5), nuclear energy part (0 - 1), pork products (0 - 5),  gas fuels part (0 - 1), oils fuels part (0 - 5)",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",604059
ovr000007,01/09/2024,01/03/2025,4295884955,Airbus SE,str_001,EXCLUDED,OK,True,,x,,,False,,False,,"Update dic-23: se aplica un overwrite en las estrategias afectadas, puesto que Clarity identifica una controversia de nivel severo (20), pero Sustainalytics considera que no es significativa. El overwrite no aplica a la STR002 por la exposición a la producción de contraceptivos.
Update feb-24:Tras recibir el nuevo feed con la información actualizada se eliminan los overwrites.
Update ago-24: no hay ovrs
Revisión dic-24: se aplican ovrs de OK a las estrategias afectadas por controversia severa al no coincidir el criterio de Sustainalytics con el 20/100 de Clarity

latest_comment:


sustainalytics_controv_detail:
Quality and Safety

exposure_detail:
Contraceptives (0-5%)",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",R63005
ovr000008,01/09/2024,01/03/2025,4295884955,Airbus SE,str_004,EXCLUDED,OK,True,,x,,,False,,False,,"Update dic-23: se aplica un overwrite en las estrategias afectadas, puesto que Clarity identifica una controversia de nivel severo (20), pero Sustainalytics considera que no es significativa. El overwrite no aplica a la STR002 por la exposición a la producción de contraceptivos.
Update feb-24:Tras recibir el nuevo feed con la información actualizada se eliminan los overwrites.
Update ago-24: no hay ovrs
Revisión dic-24: se aplican ovrs de OK a las estrategias afectadas por controversia severa al no coincidir el criterio de Sustainalytics con el 20/100 de Clarity

latest_comment:


sustainalytics_controv_detail:
Quality and Safety

exposure_detail:
Contraceptives (0-5%)",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",R63005
ovr000009,01/09/2024,01/03/2025,5030853586,Alphabet Inc,cs_001,OK,FLAG,True,,,x,,False,,False,,"Update dic-23: se aplica un overwrite en las estrategias afectadas, puesto que Clarity identifica una controversia de nivel severo (20), pero Sustainalytics considera que no es significativa. El overwrite no aplica a la STR002 por la exposición a la producción de contraceptivos.
Update feb-24:Tras recibir el nuevo feed con la información actualizada se eliminan los overwrites.
Update ago-24: no hay ovrs
Revisión dic-24: se aplican ovrs de OK a las estrategias afectadas por controversia severa al no coincidir el criterio de Sustainalytics con el 20/100 de Clarity

latest_comment:


sustainalytics_controv_detail:
Quality and Safety

exposure_detail:
Contraceptives (0-5%)",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",H27234
ovr000010,01/09/2024,01/03/2025,5051775617,Anheuser-Busch Inbev SA (Pre-Reincorporation),str_005,EXCLUDED,OK,True,,,,x,False,,False,,"Update dic-23: se aplica un overwrite en las estrategias afectadas, puesto que Clarity identifica una controversia de nivel severo (20), pero Sustainalytics considera que no es significativa. El overwrite no aplica a la STR002 por la exposición a la producción de contraceptivos.
Update feb-24:Tras recibir el nuevo feed con la información actualizada se eliminan los overwrites.
Update ago-24: no hay ovrs
Revisión dic-24: se aplican ovrs de OK a las estrategias afectadas por controversia severa al no coincidir el criterio de Sustainalytics con el 20/100 de Clarity

latest_comment:


sustainalytics_controv_detail:
Quality and Safety

exposure_detail:
Contraceptives (0-5%)",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",B95488
ovr000011,01/09/2024,01/03/2025,5000030092,ArcelorMittal SA,str_001,OK,EXCLUDED,True,,,x,,False,,False,,"Update dic-23: se aplica un overwrite en las estrategias afectadas, puesto que Clarity identifica una controversia de nivel severo (20), pero Sustainalytics considera que no es significativa. El overwrite no aplica a la STR002 por la exposición a la producción de contraceptivos.
Update feb-24:Tras recibir el nuevo feed con la información actualizada se eliminan los overwrites.
Update ago-24: no hay ovrs
Revisión dic-24: se aplican ovrs de OK a las estrategias afectadas por controversia severa al no coincidir el criterio de Sustainalytics con el 20/100 de Clarity

latest_comment:


sustainalytics_controv_detail:
Quality and Safety

exposure_detail:
Contraceptives (0-5%)",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",R52993
ovr000012,01/09/2024,01/03/2025,5000030092,ArcelorMittal SA,str_002,OK,EXCLUDED,True,,,x,,False,,False,,"Update dic-23: se aplica un overwrite en las estrategias afectadas, puesto que Clarity identifica una controversia de nivel severo (20), pero Sustainalytics considera que no es significativa. El overwrite no aplica a la STR002 por la exposición a la producción de contraceptivos.
Update feb-24:Tras recibir el nuevo feed con la información actualizada se eliminan los overwrites.
Update ago-24: no hay ovrs
Revisión dic-24: se aplican ovrs de OK a las estrategias afectadas por controversia severa al no coincidir el criterio de Sustainalytics con el 20/100 de Clarity

latest_comment:


sustainalytics_controv_detail:
Quality and Safety

exposure_detail:
Contraceptives (0-5%)",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",R52993
ovr000013,01/09/2024,01/03/2025,5000030092,ArcelorMittal SA,str_003,OK,EXCLUDED,True,,,x,,False,,False,,"NO APTA según Comité Santander Responsabilidad Solidario.

latest_comment:
No hay que revisar - Aplicado OVR en el pasado. Actualmente ISR considera que no es necesario aplicar OVR y que el resultado de Clarity es correcto.

sustainalytics_controv_detail:
-

exposure_detail:
-",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",R52993
ovr000014,01/09/2024,01/03/2025,5000030092,ArcelorMittal SA,str_003b,OK,EXCLUDED,True,,,x,,False,,False,,"Update dic-23: Se sigue aplicando el overwrite de ""OK"" en las estrategias afectadas por el porcentaje de exposición a Cluster Bombs. Según Clarity esta compañía está expuesta a la participación en la fabricación de bombas de racimo por la financiación de China Aerospace Science and Industry Group y de Norinco Group. Desde ISR consideramos que esto no es motivo suficiente para excluir a una compañía financiera, ya que no es posible especificar cuanta financiación es destinada a ""general purpose"" y cuanta financiación va destinada al negocio de la fabricación de armamento controvertido. Adicionalmente, los valores reportados por Clarity son de 2020 y anteriores.
Revisión jul-24: se mantienen las exposiciones por las que sale exlcluido este emisor y se mantienen también los OVRs
Revisión dic-24: se mantienen los OVRs porque no han variado las exposiciones

latest_comment:
Revisada dic-24:  Se mantienen los overwrites.

sustainalytics_controv_detail:
-

exposure_detail:
Armament Part (5%), Cluster Bombs Part (5%), coal mining part (5%), Fossil Fuels part (5%), oil sands part (1%), gas fuels part (1%), oil fuels part (1%)",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",R52993
